Value,Description
Formally identified in local strategy,Formally identified in local strategy
Location ecologically desirable but not in local strategy,Location ecologically desirable but not in local strategy
Area/compensation not in local strategy/ no local strategy,Area/compensation not in local strategy/ no local strategy
