Base,Description
Off site,Compensation inside LPA or NCA or deemed to be sufficiently local to site of biodiversity loss
Off site,Compensation outside LPA or NCA of impact site but in neighbouring LPA or NCA
Off site,Compensation outside LPA or NCA of impact site and beyond neighbouring LPA or NCA
On site,N/A
