Retention,Broad Habitat,Habitat,Baseline UKHAB,Baseline Distinctivness
Created,Urban,Urban Tree,1170,Low
Lost,N/A,N/A,N/A,N/A
Retained,Urban,Urban Tree,1170,Low
Enhanced,Urban,Urban Tree,1170,Low
