Category,Condition,Label
Newly Planted,N/A,N/A
Existing,Fairly Good,2. Fairly Good
Existing,Fairly Poor,4. Fairly Poor
Existing,Good,1. Good
Existing,Moderate,3. Moderate
Existing,Poor,5. Poor
